timestamp,n_markers,roll,pitch,yaw,fps
1777755741.1811,9,-3.6903,5.6172,-3.2113,1.84
1777755741.7259,11,-10.4744,7.3092,-2.7479,1.84
1777755742.2691,6,-0.7565,8.0239,-1.4171,1.84
1777755742.7767,4,-5.8752,5.7423,-3.1152,1.97
1777755743.3416,5,14.9908,10.0319,0.4230,1.77
1777755743.8670,2,-15.6729,3.7747,-3.7188,1.90
1777755744.3891,1,-16.7954,6.1704,-2.2497,1.92
1777755744.9381,1,-13.8074,5.0250,-2.1540,1.82
1777755745.5013,1,-12.9888,4.3158,-2.8038,1.78
1777755747.6618,2,2.3153,-10.1885,-0.7695,1.84
1777755748.7489,13,5.6069,-16.5870,-1.3600,1.84
1777755749.2933,17,5.8362,-13.5854,1.3061,1.84
1777755749.8367,17,4.7134,-22.2494,1.3137,1.84
1777755750.3425,17,7.4586,-35.3743,1.3919,1.98
1777755750.8868,17,7.1973,-27.4270,1.9965,1.84
1777755751.4528,17,8.7309,-21.8452,1.9269,1.77
1777755751.9968,14,10.4201,-44.2641,1.5089,1.84
1777755752.5406,9,13.6086,-49.6041,-2.5058,1.84
1777755753.0455,7,6.7539,-4.3112,-1.1045,1.98
1777755753.5925,5,6.4518,-9.5686,-2.9770,1.83
1777755754.1558,4,13.8615,-48.1130,-8.9774,1.78
1777755755.2246,2,11.1682,-51.9302,0.2103,1.91
1777755768.1962,1,18.8193,-30.6272,13.6730,1.90
1777755768.7654,1,17.1812,-31.6886,13.3563,1.76
1777755770.3980,1,10.0496,-21.2420,1.4194,1.83
1777755782.8449,2,3.1058,2.8216,11.1002,1.90
1777755783.3897,2,6.1848,12.9915,12.4181,1.84
1777755783.9173,2,-5.1316,3.2146,9.6465,1.90
1777755784.4390,3,-1.6665,5.3096,9.5182,1.92
1777755784.9650,2,-10.6070,12.0595,7.8920,1.90
1777755785.5177,5,2.8827,9.0744,8.8148,1.81
1777755786.0415,7,-0.9105,5.8204,6.1072,1.91
1777755786.6212,7,-5.5548,7.9880,-0.4266,1.73
1777755787.1294,12,-13.3692,1.3459,-7.0595,1.97
1777755787.6927,3,-6.1150,8.1893,-12.3290,1.78
1777755788.2169,2,-21.3372,2.0480,-16.2335,1.91
1777755788.7807,2,-7.9952,19.3753,-15.5625,1.77
1777755789.3253,1,-25.5268,5.8067,-23.7371,1.84
1777755789.8702,1,-14.1140,3.5058,-30.9471,1.84
1777755795.2446,10,3.4122,-5.6312,7.0771,1.84
1777755795.7647,7,15.2645,-31.2689,5.4163,1.92
1777755796.3125,6,16.0812,-29.5112,7.1092,1.83
1777755796.8523,1,27.0578,-29.9124,15.4597,1.85
1777755797.4205,1,20.7823,-41.1440,8.9442,1.76
1777755797.9646,3,23.0171,-39.1312,8.4256,1.84
1777755817.3802,1,-9.8492,-0.8468,-1.6680,1.93
1777755817.9292,7,7.3602,3.2305,-0.3908,1.82
1777755818.4925,15,0.5998,3.9978,-1.1976,1.78
1777755819.0165,14,7.6002,3.3665,-0.3973,1.91
1777755819.5420,16,5.4614,4.5212,7.5327,1.90
1777755820.0688,17,7.7792,7.8763,10.4865,1.90
1777755820.6176,17,7.5111,4.7795,14.6309,1.82
1777755821.1658,17,6.5230,4.3963,16.7085,1.82
1777755821.7092,14,5.9521,5.0742,4.5211,1.84
1777755822.2371,17,7.4816,5.4434,-6.1114,1.89
1777755822.7657,17,-0.2666,0.0149,-14.6011,1.89
1777755823.3085,17,0.1393,-0.8097,-19.3482,1.84
1777755823.8543,12,-1.8484,-6.5220,-37.4494,1.83
1777755824.3974,7,7.3257,0.4768,-28.2676,1.84
1777755824.9146,17,6.1791,-7.1431,-16.1863,1.93
1777755825.4456,17,9.3318,-12.1400,-13.6335,1.88
1777755826.0133,17,5.1457,-23.2104,-10.5070,1.76
1777755826.5583,17,5.3211,-18.7150,-8.8414,1.83
1777755827.0857,17,5.1065,-31.1033,-8.2210,1.90
1777755828.7170,17,8.4258,-12.4547,-3.2303,1.77
1777755829.2427,5,11.0237,-22.9934,1.3616,1.90
1777755829.7902,6,17.0307,-11.4730,0.4494,1.83
